AÑO,EQUIPO_LOCAL,VICTORIAS,DERROTAS,EMPATES,LOCAL_GOL,LOCAL_GOL_HT,LOCAL_AMARILLA,LOCAL_ROJA,LOCAL_TIRO_ARCO
2018,Newcastle,7,8,3,19,8,18,1,60
2018,Southampton,2,8,8,18,11,42,2,85
2018,Stoke,1,5,3,7,2,21,1,30
2018,Swansea,4,4,1,11,5,9,0,43
2018,Tottenham,13,4,1,37,16,21,0,108
2018,Watford,9,6,4,29,9,34,1,92
2018,West Brom,2,4,2,11,3,12,0,25
2018,West Ham,8,7,5,28,11,32,0,89
2018,Wolves,4,4,2,12,2,16,0,40
2019,Arsenal,10,4,5,37,18,46,1,96
2019,Aston Villa,4,4,2,13,7,18,0,46
2019,Bournemouth,5,7,7,24,10,33,1,77
2019,Brighton,5,9,5,18,7,20,2,61
2019,Burnley,9,9,1,25,9,30,0,72
2019,Cardiff,2,6,1,8,3,14,0,34
2019,Chelsea,10,4,5,31,11,25,0,113
2019,Crystal Palace,7,7,5,23,6,30,1,73
2019,Everton,10,6,3,24,12,33,0,92
2019,Fulham,3,6,0,10,2,16,0,30
2019,Huddersfield,1,7,1,6,1,17,1,26
2019,Leicester,11,5,3,31,8,22,0,97
2019,Liverpool,18,0,1,55,30,14,2,126
2019,Man City,16,2,1,49,25,32,1,137
2019,Man United,9,3,7,32,16,34,0,109
2019,Newcastle,10,5,4,28,10,29,1,92
2019,Norwich,2,6,2,16,10,16,0,50
2019,Sheffield United,4,4,2,12,6,17,1,41
2019,Southampton,6,8,5,26,10,25,2,78
2019,Tottenham,12,4,4,37,14,33,2,96
2019,Watford,5,7,6,19,4,45,3,71
2019,West Ham,7,7,4,30,13,31,0,80
2019,Wolves,10,3,6,32,11,33,0,84
2020,Arsenal,10,4,3,30,17,25,3,76
2020,Aston Villa,6,8,2,24,9,28,1,82
2020,Bournemouth,3,4,2,12,4,17,1,26
2020,Brighton,1,8,8,13,5,32,0,57
2020,Burnley,6,5,5,16,7,25,0,58
2020,Chelsea,11,2,4,37,19,23,1,112
2020,Crystal Palace,4,8,5,15,9,30,0,56
2020,Everton,7,3,6,27,17,27,1,75
2020,Fulham,1,4,3,6,4,19,1,30
2020,Leeds,3,3,2,13,5,13,0,45
2020,Leicester,7,7,3,27,11,26,1,70
2020,Liverpool,15,0,2,46,23,8,0,117
2020,Man City,12,1,3,44,24,19,0,105
2020,Man United,8,4,5,30,15,24,1,95
2020,Newcastle,5,6,6,18,5,30,0,64
2020,Norwich,2,6,1,3,2,13,3,23
2020,Sheffield United,6,9,2,16,8,23,0,56
